transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_state,sender_bank,receiver_bank,device_type,network_type,hour_of_day,day_of_week,is_weekend
TXN0000000016,09-11-2024 15:21,P2M,Grocery,1346,SUCCESS,Rajasthan,SBI,SBI,Android,5G,15,Saturday,1
TXN0000000017,25-01-2024 07:27,P2P,Food,171,SUCCESS,Delhi,HDFC,SBI,Android,5G,7,Thursday,0
TXN0000000018,19-05-2024 18:38,P2M,Healthcare,189,SUCCESS,Gujarat,SBI,PNB,iOS,5G,18,Sunday,1
TXN0000000019,11-11-2024 22:08,P2P,Healthcare,799,SUCCESS,Karnataka,ICICI,SBI,Android,4G,22,Monday,0
TXN0000000020,13-06-2024 18:25,P2P,Utilities,450,SUCCESS,Tamil Nadu,Yes Bank,IndusInd,iOS,WiFi,18,Thursday,0
TXN0000000021,19-05-2024 10:41,Bill Payment,Food,1341,SUCCESS,Karnataka,SBI,ICICI,Android,WiFi,10,Sunday,1
TXN0000000022,02-11-2024 17:13,Recharge,Entertainment,280,SUCCESS,Maharashtra,SBI,PNB,Android,4G,17,Saturday,1
TXN0000000023,18-10-2024 04:35,P2P,Shopping,397,SUCCESS,Delhi,Axis,SBI,Android,5G,4,Friday,0
TXN0000000024,21-01-2024 07:57,P2M,Grocery,1847,SUCCESS,Gujarat,HDFC,Yes Bank,Android,5G,7,Sunday,1
TXN0000000025,24-01-2024 10:43,Bill Payment,Grocery,690,SUCCESS,Tamil Nadu,Yes Bank,PNB,iOS,5G,10,Wednesday,0
TXN0000000026,01-07-2024 12:01,Bill Payment,Entertainment,218,SUCCESS,Karnataka,Axis,Yes Bank,Android,4G,12,Monday,0
TXN0000000027,28-08-2024 21:10,P2P,Food,1276,SUCCESS,Karnataka,Kotak,HDFC,Android,5G,21,Wednesday,0
TXN0000000028,09-11-2024 18:49,P2P,Grocery,146,SUCCESS,Delhi,PNB,HDFC,iOS,4G,18,Saturday,1
TXN0000000029,09-09-2024 15:24,P2P,Grocery,1755,SUCCESS,Delhi,SBI,IndusInd,Web,WiFi,15,Monday,0
TXN0000000030,18-10-2024 17:43,Bill Payment,Transport,165,SUCCESS,Rajasthan,SBI,SBI,Android,4G,17,Friday,0
TXN0000000031,20-12-2024 16:15,P2P,Healthcare,1495,SUCCESS,Gujarat,SBI,HDFC,Android,4G,16,Friday,0
TXN0000000032,17-12-2024 16:45,P2P,Grocery,394,SUCCESS,Gujarat,Yes Bank,SBI,Android,5G,16,Tuesday,0
TXN0000000033,11-05-2024 16:47,Recharge,Shopping,1693,SUCCESS,Telangana,SBI,IndusInd,Android,5G,16,Saturday,1
TXN0000000034,25-05-2024 13:30,P2M,Food,144,SUCCESS,Maharashtra,PNB,PNB,Android,WiFi,13,Saturday,1
TXN0000000035,23-02-2024 07:27,P2M,Fuel,1804,SUCCESS,Telangana,Axis,SBI,Android,4G,7,Friday,0
TXN0000000036,19-04-2024 22:12,P2P,Fuel,721,SUCCESS,Gujarat,HDFC,ICICI,Android,3G,22,Friday,0
TXN0000000037,26-07-2024 17:09,P2M,Shopping,7987,SUCCESS,Maharashtra,IndusInd,IndusInd,Android,4G,17,Friday,0
TXN0000000038,16-08-2024 21:26,Bill Payment,Shopping,5154,SUCCESS,Uttar Pradesh,ICICI,SBI,Web,5G,21,Friday,0
TXN0000000039,23-07-2024 17:02,P2P,Entertainment,131,SUCCESS,West Bengal,Yes Bank,SBI,Web,5G,17,Tuesday,0
TXN0000000040,27-02-2024 01:43,P2M,Healthcare,192,SUCCESS,Karnataka,SBI,SBI,Android,5G,1,Tuesday,0
TXN0000000041,24-01-2024 10:28,Recharge,Food,82,SUCCESS,Gujarat,HDFC,SBI,Android,5G,10,Wednesday,0
TXN0000000042,29-10-2024 12:54,P2M,Shopping,4309,SUCCESS,Maharashtra,Kotak,HDFC,Android,4G,12,Tuesday,0
TXN0000000043,18-01-2024 13:49,P2P,Utilities,2338,SUCCESS,Gujarat,Axis,SBI,Android,5G,13,Thursday,0
TXN0000000044,17-02-2024 14:03,P2M,Food,292,SUCCESS,Tamil Nadu,SBI,SBI,Android,4G,14,Saturday,1
TXN0000000045,08-09-2024 09:21,P2P,Grocery,765,SUCCESS,Maharashtra,SBI,Yes Bank,iOS,WiFi,9,Sunday,1
TXN0000000046,29-09-2024 21:04,P2P,Transport,51,SUCCESS,Uttar Pradesh,Axis,IndusInd,iOS,4G,21,Sunday,1
TXN0000000047,04-03-2024 09:35,Bill Payment,Food,144,SUCCESS,Delhi,Yes Bank,Axis,Android,WiFi,9,Monday,0
TXN0000000048,06-02-2024 17:19,P2P,Other,994,SUCCESS,Uttar Pradesh,PNB,SBI,Android,5G,17,Tuesday,0
TXN0000000049,25-05-2024 17:14,P2P,Shopping,2393,SUCCESS,Maharashtra,ICICI,ICICI,Android,5G,17,Saturday,1
TXN0000000050,29-02-2024 18:47,P2P,Other,864,SUCCESS,West Bengal,Yes Bank,SBI,Android,4G,18,Thursday,0
TXN0000000051,05-12-2024 18:42,P2P,Transport,36,SUCCESS,Gujarat,ICICI,IndusInd,Android,WiFi,18,Thursday,0
TXN0000000052,15-02-2024 10:52,P2M,Utilities,582,SUCCESS,Delhi,PNB,IndusInd,Android,4G,10,Thursday,0
TXN0000000053,31-08-2024 15:47,P2P,Other,364,SUCCESS,Gujarat,SBI,HDFC,iOS,4G,15,Saturday,1
TXN0000000054,11-01-2024 18:25,P2P,Other,203,SUCCESS,Delhi,SBI,IndusInd,Android,4G,18,Thursday,0
TXN0000000055,29-04-2024 18:29,P2M,Shopping,4987,SUCCESS,Karnataka,PNB,Yes Bank,iOS,4G,18,Monday,0
TXN0000000056,13-09-2024 10:41,P2P,Entertainment,213,SUCCESS,West Bengal,HDFC,Yes Bank,Android,4G,10,Friday,0
TXN0000000057,07-10-2024 05:43,P2M,Healthcare,1315,SUCCESS,West Bengal,HDFC,PNB,Android,4G,5,Monday,0
TXN0000000058,16-01-2024 21:57,P2P,Grocery,2685,SUCCESS,Gujarat,SBI,Kotak,Android,4G,21,Tuesday,0
TXN0000000059,21-11-2024 15:54,P2M,Entertainment,220,SUCCESS,Karnataka,PNB,ICICI,Android,4G,15,Thursday,0
TXN0000000060,14-10-2024 19:49,P2M,Fuel,1831,SUCCESS,Delhi,PNB,Kotak,iOS,5G,19,Monday,0
TXN0000000061,11-09-2024 20:20,P2P,Shopping,159,FAILED,Tamil Nadu,SBI,PNB,Android,5G,20,Wednesday,0
TXN0000000062,25-08-2024 15:26,P2P,Entertainment,475,SUCCESS,Karnataka,ICICI,HDFC,Android,4G,15,Sunday,1
TXN0000000063,15-03-2024 17:31,P2M,Food,351,SUCCESS,Uttar Pradesh,Yes Bank,ICICI,Android,5G,17,Friday,0
TXN0000000064,12-01-2024 08:34,P2P,Other,726,SUCCESS,Uttar Pradesh,SBI,PNB,Android,WiFi,8,Friday,0
TXN0000000065,29-04-2024 17:25,P2P,Food,386,SUCCESS,Uttar Pradesh,SBI,Yes Bank,Android,4G,17,Monday,0
TXN0000000066,29-04-2024 17:06,P2M,Food,55,SUCCESS,Rajasthan,ICICI,ICICI,iOS,4G,17,Monday,0
TXN0000000067,14-07-2024 05:33,P2M,Other,394,SUCCESS,Uttar Pradesh,SBI,ICICI,Android,4G,5,Sunday,1
TXN0000000068,14-08-2024 18:30,P2M,Shopping,221,FAILED,Delhi,HDFC,IndusInd,iOS,5G,18,Wednesday,0
TXN0000000069,06-11-2024 12:39,Bill Payment,Food,131,SUCCESS,Telangana,Axis,SBI,Android,4G,12,Wednesday,0
TXN0000000070,08-04-2024 12:29,P2M,Fuel,257,SUCCESS,Uttar Pradesh,PNB,Axis,Android,5G,12,Monday,0
TXN0000000071,14-12-2024 12:14,Bill Payment,Shopping,183,SUCCESS,Gujarat,PNB,Yes Bank,iOS,4G,12,Saturday,1
TXN0000000072,27-01-2024 08:43,P2P,Healthcare,1376,SUCCESS,Gujarat,IndusInd,Kotak,Android,4G,8,Saturday,1
TXN0000000073,10-03-2024 16:12,P2P,Other,760,SUCCESS,Maharashtra,SBI,SBI,Android,4G,16,Sunday,1
TXN0000000074,04-12-2024 18:27,Bill Payment,Utilities,2060,SUCCESS,Karnataka,Axis,ICICI,iOS,4G,18,Wednesday,0
TXN0000000075,29-08-2024 21:38,P2P,Food,929,SUCCESS,West Bengal,SBI,Yes Bank,iOS,4G,21,Thursday,0
TXN0000000076,19-05-2024 19:09,P2P,Transport,89,SUCCESS,Karnataka,PNB,Kotak,Android,5G,19,Sunday,1
TXN0000000077,16-12-2024 14:23,Bill Payment,Utilities,417,SUCCESS,Telangana,HDFC,SBI,Android,5G,14,Monday,0
TXN0000000078,04-09-2024 20:34,P2P,Utilities,1415,SUCCESS,Tamil Nadu,ICICI,SBI,Android,4G,20,Wednesday,0
TXN0000000079,18-09-2024 07:14,P2M,Education,588,SUCCESS,Rajasthan,Yes Bank,Axis,Android,4G,7,Wednesday,0
TXN0000000080,08-11-2024 20:26,P2M,Utilities,8335,SUCCESS,West Bengal,Axis,IndusInd,Web,4G,20,Friday,0
TXN0000000081,20-10-2024 13:14,Bill Payment,Utilities,4279,SUCCESS,Uttar Pradesh,PNB,SBI,Android,5G,13,Sunday,1
TXN0000000082,03-08-2024 13:15,P2M,Utilities,318,SUCCESS,Andhra Pradesh,PNB,Axis,Android,5G,13,Saturday,1
TXN0000000083,03-01-2024 10:03,P2M,Shopping,1496,SUCCESS,Uttar Pradesh,PNB,Kotak,Android,4G,10,Wednesday,0
TXN0000000084,04-11-2024 18:06,P2P,Utilities,924,SUCCESS,Karnataka,ICICI,ICICI,Android,4G,18,Monday,0
TXN0000000085,30-04-2024 19:43,P2P,Food,291,SUCCESS,Maharashtra,HDFC,ICICI,Web,4G,19,Tuesday,0
TXN0000000086,02-09-2024 18:42,Bill Payment,Grocery,665,SUCCESS,Maharashtra,Kotak,HDFC,iOS,4G,18,Monday,0
TXN0000000087,20-01-2024 11:01,P2P,Fuel,669,SUCCESS,Delhi,SBI,ICICI,iOS,3G,11,Saturday,1
TXN0000000088,27-09-2024 22:15,Recharge,Grocery,1855,SUCCESS,Tamil Nadu,IndusInd,ICICI,Android,4G,22,Friday,0
TXN0000000089,03-04-2024 12:09,P2M,Utilities,1015,SUCCESS,Uttar Pradesh,Axis,SBI,iOS,4G,12,Wednesday,0
TXN0000000090,01-08-2024 09:40,P2M,Other,188,SUCCESS,Gujarat,PNB,Kotak,Android,4G,9,Thursday,0
TXN0000000091,14-07-2024 12:18,P2P,Other,1702,SUCCESS,Telangana,SBI,SBI,Android,4G,12,Sunday,1
TXN0000000092,04-08-2024 10:24,Bill Payment,Food,1816,SUCCESS,Rajasthan,Kotak,SBI,Android,4G,10,Sunday,1
TXN0000000093,19-05-2024 18:03,P2P,Other,712,SUCCESS,Gujarat,SBI,PNB,Android,5G,18,Sunday,1
TXN0000000094,12-10-2024 20:55,P2M,Grocery,461,SUCCESS,Karnataka,SBI,IndusInd,Android,5G,20,Saturday,1
TXN0000000095,22-01-2024 16:45,P2P,Transport,224,SUCCESS,Gujarat,Axis,SBI,Android,5G,16,Monday,0
TXN0000000096,23-03-2024 22:12,P2P,Shopping,2202,SUCCESS,West Bengal,Axis,SBI,Android,4G,22,Saturday,1
TXN0000000097,19-02-2024 18:16,Bill Payment,Shopping,7821,SUCCESS,Rajasthan,Yes Bank,Kotak,Web,5G,18,Monday,0
TXN0000000098,14-04-2024 20:11,P2M,Shopping,2135,SUCCESS,Maharashtra,ICICI,HDFC,Android,4G,20,Sunday,1
TXN0000000099,16-07-2024 12:59,P2P,Utilities,2776,SUCCESS,Telangana,IndusInd,SBI,Android,3G,12,Tuesday,0
TXN0000000100,24-10-2024 16:39,P2M,Grocery,543,SUCCESS,Karnataka,HDFC,Axis,Android,4G,16,Thursday,0
TXN0000000101,09-12-2024 19:55,P2P,Food,215,SUCCESS,Karnataka,ICICI,Kotak,Android,4G,19,Monday,0
TXN0000000102,19-02-2024 18:16,P2M,Education,8754,SUCCESS,West Bengal,ICICI,PNB,Android,4G,18,Monday,0
TXN0000000103,25-08-2024 06:09,Bill Payment,Grocery,561,SUCCESS,Andhra Pradesh,ICICI,Axis,Android,4G,6,Sunday,1
TXN0000000104,16-09-2024 18:23,P2P,Other,147,SUCCESS,West Bengal,SBI,ICICI,Android,4G,18,Monday,0
TXN0000000105,09-06-2024 20:44,Bill Payment,Other,661,SUCCESS,West Bengal,Yes Bank,Kotak,iOS,4G,20,Sunday,1
TXN0000000106,29-07-2024 20:35,P2M,Shopping,7145,SUCCESS,West Bengal,PNB,Yes Bank,Android,WiFi,20,Monday,0
TXN0000000107,17-07-2024 10:07,P2P,Fuel,4468,SUCCESS,Gujarat,Kotak,Yes Bank,Android,5G,10,Wednesday,0
TXN0000000108,24-12-2024 11:08,Bill Payment,Utilities,2850,SUCCESS,Rajasthan,Kotak,ICICI,Android,WiFi,11,Tuesday,0
TXN0000000109,13-10-2024 20:29,P2M,Utilities,2142,SUCCESS,Rajasthan,ICICI,IndusInd,Android,4G,20,Sunday,1
TXN0000000110,19-07-2024 11:30,Recharge,Food,61,SUCCESS,Maharashtra,PNB,SBI,Android,5G,11,Friday,0
TXN0000000111,16-04-2024 16:11,P2P,Food,1288,SUCCESS,Gujarat,SBI,ICICI,Android,4G,16,Tuesday,0
TXN0000000112,11-08-2024 19:39,P2P,Food,1014,SUCCESS,Delhi,IndusInd,PNB,Android,3G,19,Sunday,1
TXN0000000113,05-02-2024 19:13,Bill Payment,Other,2474,SUCCESS,Delhi,Axis,HDFC,Web,WiFi,19,Monday,0
TXN0000000114,25-11-2024 19:54,P2M,Healthcare,861,SUCCESS,Rajasthan,Yes Bank,SBI,Android,5G,19,Monday,0
TXN0000000115,26-04-2024 20:45,P2P,Transport,507,SUCCESS,Andhra Pradesh,SBI,Axis,Android,5G,20,Friday,0
TXN0000000116,06-08-2024 13:16,P2M,Shopping,404,SUCCESS,Gujarat,ICICI,SBI,Android,4G,13,Tuesday,0
TXN0000000117,04-02-2024 17:37,P2M,Other,621,SUCCESS,Delhi,SBI,Yes Bank,iOS,WiFi,17,Sunday,1
TXN0000000118,24-10-2024 09:26,Bill Payment,Fuel,1830,SUCCESS,Telangana,IndusInd,SBI,Android,4G,9,Thursday,0
TXN0000000119,03-04-2024 13:21,P2M,Other,657,SUCCESS,Delhi,PNB,HDFC,iOS,4G,13,Wednesday,0
TXN0000000120,25-10-2024 11:34,P2P,Shopping,6804,SUCCESS,Karnataka,Yes Bank,SBI,Android,5G,11,Friday,0
TXN0000000121,20-03-2024 05:14,P2P,Utilities,261,SUCCESS,Gujarat,HDFC,SBI,Android,4G,5,Wednesday,0
TXN0000000122,20-01-2024 13:38,P2P,Entertainment,268,SUCCESS,Uttar Pradesh,HDFC,PNB,Android,WiFi,13,Saturday,1
TXN0000000123,03-01-2024 14:46,P2P,Transport,1410,SUCCESS,Karnataka,SBI,Yes Bank,Android,4G,14,Wednesday,0
TXN0000000124,23-01-2024 11:47,P2P,Utilities,342,SUCCESS,Uttar Pradesh,Kotak,SBI,iOS,WiFi,11,Tuesday,0
TXN0000000125,09-04-2024 13:39,Bill Payment,Utilities,3941,SUCCESS,Telangana,HDFC,HDFC,iOS,4G,13,Tuesday,0
TXN0000000126,12-05-2024 11:54,P2M,Grocery,4073,SUCCESS,Gujarat,Axis,Yes Bank,Android,WiFi,11,Sunday,1
TXN0000000127,29-04-2024 15:05,P2M,Food,91,SUCCESS,Telangana,Axis,SBI,Android,4G,15,Monday,0
TXN0000000128,14-09-2024 13:32,Bill Payment,Entertainment,209,SUCCESS,Karnataka,HDFC,ICICI,Web,4G,13,Saturday,1
TXN0000000129,09-03-2024 18:13,P2P,Transport,37,SUCCESS,Karnataka,HDFC,IndusInd,Android,5G,18,Saturday,1
TXN0000000130,05-09-2024 11:42,P2P,Fuel,596,SUCCESS,Maharashtra,Axis,HDFC,Android,4G,11,Thursday,0
TXN0000000131,10-10-2024 23:26,P2M,Transport,66,SUCCESS,Maharashtra,ICICI,PNB,iOS,4G,23,Thursday,0
TXN0000000132,28-12-2024 10:47,Recharge,Food,225,SUCCESS,Maharashtra,ICICI,HDFC,Android,4G,10,Saturday,1
TXN0000000133,05-04-2024 20:33,P2M,Entertainment,187,SUCCESS,Delhi,SBI,Axis,Android,4G,20,Friday,0
TXN0000000134,15-10-2024 19:38,P2P,Shopping,7155,SUCCESS,Tamil Nadu,ICICI,IndusInd,Android,4G,19,Tuesday,0
TXN0000000135,14-12-2024 19:24,Bill Payment,Shopping,5879,SUCCESS,Telangana,SBI,PNB,Android,5G,19,Saturday,1
TXN0000000136,02-09-2024 20:42,P2P,Entertainment,561,SUCCESS,Delhi,SBI,Yes Bank,Android,WiFi,20,Monday,0
TXN0000000137,02-12-2024 13:26,Bill Payment,Utilities,6011,SUCCESS,Maharashtra,SBI,Yes Bank,Android,4G,13,Monday,0
TXN0000000138,15-08-2024 07:34,P2P,Entertainment,223,SUCCESS,Telangana,SBI,SBI,Android,5G,7,Thursday,0
TXN0000000139,07-11-2024 15:35,Bill Payment,Fuel,4864,SUCCESS,Maharashtra,Kotak,SBI,iOS,WiFi,15,Thursday,0
TXN0000000140,04-09-2024 16:28,P2M,Food,2350,SUCCESS,Delhi,SBI,IndusInd,Android,5G,16,Wednesday,0
TXN0000000141,09-04-2024 14:17,P2M,Utilities,284,SUCCESS,Telangana,SBI,Kotak,Android,4G,14,Tuesday,0
TXN0000000142,22-06-2024 23:08,P2P,Shopping,1174,SUCCESS,West Bengal,IndusInd,HDFC,Android,4G,23,Saturday,1
TXN0000000143,15-08-2024 19:38,P2P,Shopping,1773,SUCCESS,Maharashtra,IndusInd,ICICI,Android,4G,19,Thursday,0
TXN0000000144,07-01-2024 09:55,P2P,Grocery,2839,SUCCESS,Uttar Pradesh,HDFC,SBI,iOS,4G,9,Sunday,1
TXN0000000145,13-06-2024 08:59,P2P,Shopping,3757,SUCCESS,Uttar Pradesh,SBI,SBI,Android,4G,8,Thursday,0
TXN0000000146,14-10-2024 12:46,P2P,Grocery,599,SUCCESS,Uttar Pradesh,ICICI,ICICI,Android,4G,12,Monday,0
TXN0000000147,18-02-2024 16:12,P2P,Healthcare,720,SUCCESS,Gujarat,PNB,ICICI,iOS,4G,16,Sunday,1
TXN0000000148,05-05-2024 12:38,P2M,Food,646,SUCCESS,Rajasthan,IndusInd,SBI,Android,5G,12,Sunday,1
TXN0000000149,06-06-2024 19:51,P2M,Food,211,SUCCESS,Delhi,SBI,SBI,iOS,4G,19,Thursday,0
TXN0000000150,19-08-2024 17:33,P2P,Transport,58,SUCCESS,Rajasthan,IndusInd,PNB,Android,5G,17,Monday,0
TXN0000000151,17-05-2024 17:03,P2P,Food,377,SUCCESS,Maharashtra,ICICI,SBI,iOS,5G,17,Friday,0
TXN0000000152,08-03-2024 21:15,Recharge,Transport,1072,SUCCESS,Maharashtra,Axis,HDFC,Android,5G,21,Friday,0
TXN0000000153,05-02-2024 08:16,P2M,Transport,16,FAILED,Uttar Pradesh,PNB,PNB,Android,WiFi,8,Monday,0
TXN0000000154,13-11-2024 17:30,P2P,Food,1753,SUCCESS,Karnataka,PNB,Axis,Android,WiFi,17,Wednesday,0
TXN0000000155,21-12-2024 10:58,P2P,Grocery,345,SUCCESS,West Bengal,ICICI,SBI,iOS,4G,10,Saturday,1
TXN0000000156,22-02-2024 11:42,P2M,Grocery,174,SUCCESS,Uttar Pradesh,HDFC,SBI,Android,4G,11,Thursday,0
TXN0000000157,01-11-2024 12:59,P2P,Entertainment,69,SUCCESS,Uttar Pradesh,SBI,PNB,Android,4G,12,Friday,0
TXN0000000158,09-05-2024 16:22,P2M,Grocery,301,SUCCESS,Telangana,SBI,ICICI,Android,4G,16,Thursday,0
TXN0000000159,02-06-2024 22:38,Recharge,Utilities,3091,SUCCESS,Maharashtra,ICICI,IndusInd,Android,4G,22,Sunday,1
TXN0000000160,16-02-2024 18:51,Bill Payment,Shopping,9619,SUCCESS,Maharashtra,SBI,IndusInd,Android,4G,18,Friday,0
TXN0000000161,13-09-2024 12:17,P2P,Entertainment,727,SUCCESS,Gujarat,Yes Bank,Yes Bank,iOS,4G,12,Friday,0
TXN0000000162,12-10-2024 17:50,P2M,Fuel,375,SUCCESS,Rajasthan,HDFC,Axis,Android,4G,17,Saturday,1
TXN0000000163,29-12-2024 15:13,P2M,Grocery,700,SUCCESS,Maharashtra,Kotak,Yes Bank,Android,5G,15,Sunday,1
TXN0000000164,19-05-2024 17:12,Bill Payment,Shopping,2289,SUCCESS,Andhra Pradesh,Kotak,Kotak,Android,5G,17,Sunday,1
TXN0000000165,14-12-2024 17:48,P2P,Fuel,797,SUCCESS,Tamil Nadu,SBI,SBI,Web,5G,17,Saturday,1
TXN0000000166,29-10-2024 04:05,P2P,Shopping,9228,SUCCESS,West Bengal,SBI,Yes Bank,Android,WiFi,4,Tuesday,0
TXN0000000167,13-02-2024 16:30,P2P,Other,1553,SUCCESS,Karnataka,PNB,SBI,Android,3G,16,Tuesday,0
TXN0000000168,18-08-2024 09:16,P2M,Entertainment,578,SUCCESS,Andhra Pradesh,HDFC,HDFC,Android,4G,9,Sunday,1
TXN0000000169,20-07-2024 20:07,P2M,Food,232,FAILED,Andhra Pradesh,Axis,SBI,iOS,WiFi,20,Saturday,1
TXN0000000170,30-07-2024 18:10,P2M,Fuel,2545,SUCCESS,Uttar Pradesh,SBI,SBI,iOS,4G,18,Tuesday,0
TXN0000000171,25-01-2024 07:20,P2P,Shopping,457,SUCCESS,Maharashtra,SBI,IndusInd,Android,4G,7,Thursday,0
TXN0000000172,27-09-2024 05:16,Recharge,Grocery,317,SUCCESS,Delhi,Yes Bank,IndusInd,Android,3G,5,Friday,0
TXN0000000173,13-08-2024 18:50,P2M,Food,132,SUCCESS,Uttar Pradesh,SBI,SBI,Android,4G,18,Tuesday,0
TXN0000000174,04-04-2024 12:34,P2P,Grocery,1414,SUCCESS,Rajasthan,IndusInd,SBI,Android,4G,12,Thursday,0
TXN0000000175,17-03-2024 17:51,P2M,Food,355,SUCCESS,Maharashtra,SBI,Yes Bank,Android,4G,17,Sunday,1
TXN0000000176,15-01-2024 10:49,P2M,Education,2335,SUCCESS,Maharashtra,Axis,SBI,Android,4G,10,Monday,0
TXN0000000177,24-09-2024 18:42,P2M,Fuel,443,SUCCESS,Andhra Pradesh,Kotak,SBI,Android,4G,18,Tuesday,0
TXN0000000178,05-05-2024 20:50,P2P,Food,167,SUCCESS,Tamil Nadu,PNB,SBI,Android,5G,20,Sunday,1
TXN0000000179,21-07-2024 19:48,P2P,Shopping,7210,SUCCESS,Maharashtra,Axis,Axis,Android,5G,19,Sunday,1
TXN0000000180,07-06-2024 21:47,P2P,Utilities,2148,SUCCESS,Uttar Pradesh,SBI,SBI,Android,5G,21,Friday,0
TXN0000000181,20-01-2024 19:24,P2M,Food,57,SUCCESS,Maharashtra,SBI,HDFC,Android,4G,19,Saturday,1
TXN0000000182,06-12-2024 15:39,P2P,Grocery,2241,FAILED,Tamil Nadu,SBI,ICICI,Android,5G,15,Friday,0
TXN0000000183,21-05-2024 21:29,P2M,Shopping,1688,SUCCESS,Delhi,SBI,SBI,iOS,4G,21,Tuesday,0
TXN0000000184,26-08-2024 09:03,P2P,Healthcare,250,SUCCESS,Uttar Pradesh,SBI,Yes Bank,Android,5G,9,Monday,0
TXN0000000185,05-02-2024 14:15,P2P,Utilities,957,SUCCESS,Karnataka,SBI,Axis,iOS,WiFi,14,Monday,0
TXN0000000186,05-03-2024 17:03,Bill Payment,Shopping,2555,SUCCESS,Gujarat,Axis,PNB,Android,4G,17,Tuesday,0
TXN0000000187,19-02-2024 14:56,P2P,Shopping,6786,SUCCESS,Karnataka,PNB,Yes Bank,Android,4G,14,Monday,0
TXN0000000188,25-06-2024 18:04,P2M,Shopping,1108,SUCCESS,Gujarat,PNB,ICICI,Android,5G,18,Tuesday,0
TXN0000000189,23-06-2024 01:12,P2M,Fuel,503,SUCCESS,Delhi,Kotak,PNB,iOS,5G,1,Sunday,1
TXN0000000190,02-11-2024 14:06,Bill Payment,Grocery,1990,SUCCESS,Tamil Nadu,ICICI,Yes Bank,Android,5G,14,Saturday,1
TXN0000000191,07-11-2024 16:22,P2P,Shopping,1838,SUCCESS,Karnataka,HDFC,ICICI,Android,3G,16,Thursday,0
TXN0000000192,15-07-2024 21:31,P2P,Food,744,SUCCESS,Telangana,Axis,SBI,Android,4G,21,Monday,0
TXN0000000193,14-01-2024 21:13,P2M,Grocery,831,SUCCESS,Karnataka,SBI,PNB,Android,4G,21,Sunday,1
TXN0000000194,02-02-2024 20:17,P2M,Other,1487,SUCCESS,Tamil Nadu,PNB,SBI,Android,4G,20,Friday,0
TXN0000000195,06-02-2024 19:21,Bill Payment,Food,303,SUCCESS,Telangana,PNB,Yes Bank,iOS,3G,19,Tuesday,0
TXN0000000196,07-12-2024 21:46,Bill Payment,Utilities,5798,SUCCESS,Rajasthan,Axis,PNB,Android,WiFi,21,Saturday,1
TXN0000000197,23-03-2024 21:20,P2P,Grocery,1490,FAILED,Maharashtra,SBI,ICICI,Android,4G,21,Saturday,1
TXN0000000198,19-04-2024 20:35,P2P,Other,1092,SUCCESS,Uttar Pradesh,IndusInd,Yes Bank,iOS,4G,20,Friday,0
TXN0000000199,11-05-2024 17:56,P2M,Transport,268,SUCCESS,Delhi,Axis,ICICI,Android,4G,17,Saturday,1
TXN0000000200,06-03-2024 00:47,Bill Payment,Entertainment,1659,FAILED,Tamil Nadu,SBI,Axis,Android,4G,0,Wednesday,0
