transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_state,sender_bank,receiver_bank,device_type,network_type,hour_of_day,day_of_week,is_weekend,hour
TXN0000000030,2024-10-18 17:43:00,Bill Payment,Transport,165,SUCCESS,Rajasthan,SBI,SBI,Android,4G,17,Friday,False,17
TXN0000000031,2024-12-20 16:15:00,P2P,Healthcare,1495,SUCCESS,Gujarat,SBI,HDFC,Android,4G,16,Friday,False,16
TXN0000000032,2024-12-17 16:45:00,P2P,Grocery,394,SUCCESS,Gujarat,Yes Bank,SBI,Android,5G,16,Tuesday,False,16
TXN0000000033,2024-05-11 16:47:00,Recharge,Shopping,1693,SUCCESS,Telangana,SBI,IndusInd,Android,5G,16,Saturday,True,16
TXN0000000034,2024-05-25 13:30:00,P2M,Food,144,SUCCESS,Maharashtra,PNB,PNB,Android,WiFi,13,Saturday,True,13
TXN0000000035,2024-02-23 07:27:00,P2M,Fuel,1804,SUCCESS,Telangana,Axis,SBI,Android,4G,7,Friday,False,7
TXN0000000036,2024-04-19 22:12:00,P2P,Fuel,721,SUCCESS,Gujarat,HDFC,ICICI,Android,3G,22,Friday,False,22
TXN0000000037,2024-07-26 17:09:00,P2M,Shopping,7987,SUCCESS,Maharashtra,IndusInd,IndusInd,Android,4G,17,Friday,False,17
TXN0000000038,2024-08-16 21:26:00,Bill Payment,Shopping,5154,SUCCESS,Uttar Pradesh,ICICI,SBI,Web,5G,21,Friday,False,21
TXN0000000039,2024-07-23 17:02:00,P2P,Entertainment,131,SUCCESS,West Bengal,Yes Bank,SBI,Web,5G,17,Tuesday,False,17
TXN0000000040,2024-02-27 01:43:00,P2M,Healthcare,192,SUCCESS,Karnataka,SBI,SBI,Android,5G,1,Tuesday,False,1
TXN0000000041,2024-01-24 10:28:00,Recharge,Food,82,SUCCESS,Gujarat,HDFC,SBI,Android,5G,10,Wednesday,False,10
TXN0000000042,2024-10-29 12:54:00,P2M,Shopping,4309,SUCCESS,Maharashtra,Kotak,HDFC,Android,4G,12,Tuesday,False,12
TXN0000000043,2024-01-18 13:49:00,P2P,Utilities,2338,SUCCESS,Gujarat,Axis,SBI,Android,5G,13,Thursday,False,13
TXN0000000044,2024-02-17 14:03:00,P2M,Food,292,SUCCESS,Tamil Nadu,SBI,SBI,Android,4G,14,Saturday,True,14
TXN0000000045,2024-09-08 09:21:00,P2P,Grocery,765,SUCCESS,Maharashtra,SBI,Yes Bank,iOS,WiFi,9,Sunday,True,9
TXN0000000046,2024-09-29 21:04:00,P2P,Transport,51,SUCCESS,Uttar Pradesh,Axis,IndusInd,iOS,4G,21,Sunday,True,21
TXN0000000047,2024-03-04 09:35:00,Bill Payment,Food,144,SUCCESS,Delhi,Yes Bank,Axis,Android,WiFi,9,Monday,False,9
TXN0000000048,2024-02-06 17:19:00,P2P,Other,994,SUCCESS,Uttar Pradesh,PNB,SBI,Android,5G,17,Tuesday,False,17
TXN0000000049,2024-05-25 17:14:00,P2P,Shopping,2393,SUCCESS,Maharashtra,ICICI,ICICI,Android,5G,17,Saturday,True,17
TXN0000000050,2024-02-29 18:47:00,P2P,Other,864,SUCCESS,West Bengal,Yes Bank,SBI,Android,4G,18,Thursday,False,18
TXN0000000051,2024-12-05 18:42:00,P2P,Transport,36,SUCCESS,Gujarat,ICICI,IndusInd,Android,WiFi,18,Thursday,False,18
TXN0000000052,2024-02-15 10:52:00,P2M,Utilities,582,SUCCESS,Delhi,PNB,IndusInd,Android,4G,10,Thursday,False,10
TXN0000000053,2024-08-31 15:47:00,P2P,Other,364,SUCCESS,Gujarat,SBI,HDFC,iOS,4G,15,Saturday,True,15
TXN0000000054,2024-01-11 18:25:00,P2P,Other,203,SUCCESS,Delhi,SBI,IndusInd,Android,4G,18,Thursday,False,18
TXN0000000055,2024-04-29 18:29:00,P2M,Shopping,4987,SUCCESS,Karnataka,PNB,Yes Bank,iOS,4G,18,Monday,False,18
TXN0000000056,2024-09-13 10:41:00,P2P,Entertainment,213,SUCCESS,West Bengal,HDFC,Yes Bank,Android,4G,10,Friday,False,10
TXN0000000057,2024-10-07 05:43:00,P2M,Healthcare,1315,SUCCESS,West Bengal,HDFC,PNB,Android,4G,5,Monday,False,5
TXN0000000058,2024-01-16 21:57:00,P2P,Grocery,2685,SUCCESS,Gujarat,SBI,Kotak,Android,4G,21,Tuesday,False,21
TXN0000000059,2024-11-21 15:54:00,P2M,Entertainment,220,SUCCESS,Karnataka,PNB,ICICI,Android,4G,15,Thursday,False,15
TXN0000000060,2024-10-14 19:49:00,P2M,Fuel,1831,SUCCESS,Delhi,PNB,Kotak,iOS,5G,19,Monday,False,19
TXN0000000061,2024-09-11 20:20:00,P2P,Shopping,159,FAILED,Tamil Nadu,SBI,PNB,Android,5G,20,Wednesday,False,20
TXN0000000062,2024-08-25 15:26:00,P2P,Entertainment,475,SUCCESS,Karnataka,ICICI,HDFC,Android,4G,15,Sunday,True,15
TXN0000000063,2024-03-15 17:31:00,P2M,Food,351,SUCCESS,Uttar Pradesh,Yes Bank,ICICI,Android,5G,17,Friday,False,17
TXN0000000064,2024-01-12 08:34:00,P2P,Other,726,SUCCESS,Uttar Pradesh,SBI,PNB,Android,WiFi,8,Friday,False,8
TXN0000000065,2024-04-29 17:25:00,P2P,Food,386,SUCCESS,Uttar Pradesh,SBI,Yes Bank,Android,4G,17,Monday,False,17
TXN0000000066,2024-04-29 17:06:00,P2M,Food,55,SUCCESS,Rajasthan,ICICI,ICICI,iOS,4G,17,Monday,False,17
TXN0000000067,2024-07-14 05:33:00,P2M,Other,394,SUCCESS,Uttar Pradesh,SBI,ICICI,Android,4G,5,Sunday,True,5
TXN0000000068,2024-08-14 18:30:00,P2M,Shopping,221,FAILED,Delhi,HDFC,IndusInd,iOS,5G,18,Wednesday,False,18
TXN0000000069,2024-11-06 12:39:00,Bill Payment,Food,131,SUCCESS,Telangana,Axis,SBI,Android,4G,12,Wednesday,False,12
TXN0000000070,2024-04-08 12:29:00,P2M,Fuel,257,SUCCESS,Uttar Pradesh,PNB,Axis,Android,5G,12,Monday,False,12
TXN0000000071,2024-12-14 12:14:00,Bill Payment,Shopping,183,SUCCESS,Gujarat,PNB,Yes Bank,iOS,4G,12,Saturday,True,12
TXN0000000072,2024-01-27 08:43:00,P2P,Healthcare,1376,SUCCESS,Gujarat,IndusInd,Kotak,Android,4G,8,Saturday,True,8
TXN0000000073,2024-03-10 16:12:00,P2P,Other,760,SUCCESS,Maharashtra,SBI,SBI,Android,4G,16,Sunday,True,16
TXN0000000074,2024-12-04 18:27:00,Bill Payment,Utilities,2060,SUCCESS,Karnataka,Axis,ICICI,iOS,4G,18,Wednesday,False,18
TXN0000000075,2024-08-29 21:38:00,P2P,Food,929,SUCCESS,West Bengal,SBI,Yes Bank,iOS,4G,21,Thursday,False,21
TXN0000000076,2024-05-19 19:09:00,P2P,Transport,89,SUCCESS,Karnataka,PNB,Kotak,Android,5G,19,Sunday,True,19
TXN0000000077,2024-12-16 14:23:00,Bill Payment,Utilities,417,SUCCESS,Telangana,HDFC,SBI,Android,5G,14,Monday,False,14
TXN0000000078,2024-09-04 20:34:00,P2P,Utilities,1415,SUCCESS,Tamil Nadu,ICICI,SBI,Android,4G,20,Wednesday,False,20
TXN0000000079,2024-09-18 07:14:00,P2M,Education,588,SUCCESS,Rajasthan,Yes Bank,Axis,Android,4G,7,Wednesday,False,7
TXN0000000080,2024-11-08 20:26:00,P2M,Utilities,8335,SUCCESS,West Bengal,Axis,IndusInd,Web,4G,20,Friday,False,20
TXN0000000081,2024-10-20 13:14:00,Bill Payment,Utilities,4279,SUCCESS,Uttar Pradesh,PNB,SBI,Android,5G,13,Sunday,True,13
TXN0000000082,2024-08-03 13:15:00,P2M,Utilities,318,SUCCESS,Andhra Pradesh,PNB,Axis,Android,5G,13,Saturday,True,13
TXN0000000083,2024-01-03 10:03:00,P2M,Shopping,1496,SUCCESS,Uttar Pradesh,PNB,Kotak,Android,4G,10,Wednesday,False,10
TXN0000000084,2024-11-04 18:06:00,P2P,Utilities,924,SUCCESS,Karnataka,ICICI,ICICI,Android,4G,18,Monday,False,18
TXN0000000085,2024-04-30 19:43:00,P2P,Food,291,SUCCESS,Maharashtra,HDFC,ICICI,Web,4G,19,Tuesday,False,19
TXN0000000086,2024-09-02 18:42:00,Bill Payment,Grocery,665,SUCCESS,Maharashtra,Kotak,HDFC,iOS,4G,18,Monday,False,18
TXN0000000087,2024-01-20 11:01:00,P2P,Fuel,669,SUCCESS,Delhi,SBI,ICICI,iOS,3G,11,Saturday,True,11
TXN0000000088,2024-09-27 22:15:00,Recharge,Grocery,1855,SUCCESS,Tamil Nadu,IndusInd,ICICI,Android,4G,22,Friday,False,22
TXN0000000089,2024-04-03 12:09:00,P2M,Utilities,1015,SUCCESS,Uttar Pradesh,Axis,SBI,iOS,4G,12,Wednesday,False,12
TXN0000000090,2024-08-01 09:40:00,P2M,Other,188,SUCCESS,Gujarat,PNB,Kotak,Android,4G,9,Thursday,False,9
TXN0000000091,2024-07-14 12:18:00,P2P,Other,1702,SUCCESS,Telangana,SBI,SBI,Android,4G,12,Sunday,True,12
TXN0000000092,2024-08-04 10:24:00,Bill Payment,Food,1816,SUCCESS,Rajasthan,Kotak,SBI,Android,4G,10,Sunday,True,10
TXN0000000093,2024-05-19 18:03:00,P2P,Other,712,SUCCESS,Gujarat,SBI,PNB,Android,5G,18,Sunday,True,18
TXN0000000094,2024-10-12 20:55:00,P2M,Grocery,461,SUCCESS,Karnataka,SBI,IndusInd,Android,5G,20,Saturday,True,20
TXN0000000095,2024-01-22 16:45:00,P2P,Transport,224,SUCCESS,Gujarat,Axis,SBI,Android,5G,16,Monday,False,16
TXN0000000096,2024-03-23 22:12:00,P2P,Shopping,2202,SUCCESS,West Bengal,Axis,SBI,Android,4G,22,Saturday,True,22
TXN0000000097,2024-02-19 18:16:00,Bill Payment,Shopping,7821,SUCCESS,Rajasthan,Yes Bank,Kotak,Web,5G,18,Monday,False,18
TXN0000000098,2024-04-14 20:11:00,P2M,Shopping,2135,SUCCESS,Maharashtra,ICICI,HDFC,Android,4G,20,Sunday,True,20
TXN0000000099,2024-07-16 12:59:00,P2P,Utilities,2776,SUCCESS,Telangana,IndusInd,SBI,Android,3G,12,Tuesday,False,12
TXN0000000100,2024-10-24 16:39:00,P2M,Grocery,543,SUCCESS,Karnataka,HDFC,Axis,Android,4G,16,Thursday,False,16
TXN0000000101,2024-12-09 19:55:00,P2P,Food,215,SUCCESS,Karnataka,ICICI,Kotak,Android,4G,19,Monday,False,19
TXN0000000102,2024-02-19 18:16:00,P2M,Education,8754,SUCCESS,West Bengal,ICICI,PNB,Android,4G,18,Monday,False,18
TXN0000000103,2024-08-25 06:09:00,Bill Payment,Grocery,561,SUCCESS,Andhra Pradesh,ICICI,Axis,Android,4G,6,Sunday,True,6
TXN0000000104,2024-09-16 18:23:00,P2P,Other,147,SUCCESS,West Bengal,SBI,ICICI,Android,4G,18,Monday,False,18
TXN0000000105,2024-06-09 20:44:00,Bill Payment,Other,661,SUCCESS,West Bengal,Yes Bank,Kotak,iOS,4G,20,Sunday,True,20
TXN0000000106,2024-07-29 20:35:00,P2M,Shopping,7145,SUCCESS,West Bengal,PNB,Yes Bank,Android,WiFi,20,Monday,False,20
TXN0000000107,2024-07-17 10:07:00,P2P,Fuel,4468,SUCCESS,Gujarat,Kotak,Yes Bank,Android,5G,10,Wednesday,False,10
TXN0000000108,2024-12-24 11:08:00,Bill Payment,Utilities,2850,SUCCESS,Rajasthan,Kotak,ICICI,Android,WiFi,11,Tuesday,False,11
TXN0000000109,2024-10-13 20:29:00,P2M,Utilities,2142,SUCCESS,Rajasthan,ICICI,IndusInd,Android,4G,20,Sunday,True,20
TXN0000000110,2024-07-19 11:30:00,Recharge,Food,61,SUCCESS,Maharashtra,PNB,SBI,Android,5G,11,Friday,False,11
TXN0000000111,2024-04-16 16:11:00,P2P,Food,1288,SUCCESS,Gujarat,SBI,ICICI,Android,4G,16,Tuesday,False,16
TXN0000000112,2024-08-11 19:39:00,P2P,Food,1014,SUCCESS,Delhi,IndusInd,PNB,Android,3G,19,Sunday,True,19
TXN0000000113,2024-02-05 19:13:00,Bill Payment,Other,2474,SUCCESS,Delhi,Axis,HDFC,Web,WiFi,19,Monday,False,19
TXN0000000114,2024-11-25 19:54:00,P2M,Healthcare,861,SUCCESS,Rajasthan,Yes Bank,SBI,Android,5G,19,Monday,False,19
TXN0000000115,2024-04-26 20:45:00,P2P,Transport,507,SUCCESS,Andhra Pradesh,SBI,Axis,Android,5G,20,Friday,False,20
TXN0000000116,2024-08-06 13:16:00,P2M,Shopping,404,SUCCESS,Gujarat,ICICI,SBI,Android,4G,13,Tuesday,False,13
TXN0000000117,2024-02-04 17:37:00,P2M,Other,621,SUCCESS,Delhi,SBI,Yes Bank,iOS,WiFi,17,Sunday,True,17
TXN0000000118,2024-10-24 09:26:00,Bill Payment,Fuel,1830,SUCCESS,Telangana,IndusInd,SBI,Android,4G,9,Thursday,False,9
TXN0000000119,2024-04-03 13:21:00,P2M,Other,657,SUCCESS,Delhi,PNB,HDFC,iOS,4G,13,Wednesday,False,13
TXN0000000120,2024-10-25 11:34:00,P2P,Shopping,6804,SUCCESS,Karnataka,Yes Bank,SBI,Android,5G,11,Friday,False,11
TXN0000000121,2024-03-20 05:14:00,P2P,Utilities,261,SUCCESS,Gujarat,HDFC,SBI,Android,4G,5,Wednesday,False,5
TXN0000000122,2024-01-20 13:38:00,P2P,Entertainment,268,SUCCESS,Uttar Pradesh,HDFC,PNB,Android,WiFi,13,Saturday,True,13
TXN0000000123,2024-01-03 14:46:00,P2P,Transport,1410,SUCCESS,Karnataka,SBI,Yes Bank,Android,4G,14,Wednesday,False,14
TXN0000000124,2024-01-23 11:47:00,P2P,Utilities,342,SUCCESS,Uttar Pradesh,Kotak,SBI,iOS,WiFi,11,Tuesday,False,11
TXN0000000125,2024-04-09 13:39:00,Bill Payment,Utilities,3941,SUCCESS,Telangana,HDFC,HDFC,iOS,4G,13,Tuesday,False,13
TXN0000000126,2024-05-12 11:54:00,P2M,Grocery,4073,SUCCESS,Gujarat,Axis,Yes Bank,Android,WiFi,11,Sunday,True,11
TXN0000000127,2024-04-29 15:05:00,P2M,Food,91,SUCCESS,Telangana,Axis,SBI,Android,4G,15,Monday,False,15
TXN0000000128,2024-09-14 13:32:00,Bill Payment,Entertainment,209,SUCCESS,Karnataka,HDFC,ICICI,Web,4G,13,Saturday,True,13
TXN0000000129,2024-03-09 18:13:00,P2P,Transport,37,SUCCESS,Karnataka,HDFC,IndusInd,Android,5G,18,Saturday,True,18
TXN0000000130,2024-09-05 11:42:00,P2P,Fuel,596,SUCCESS,Maharashtra,Axis,HDFC,Android,4G,11,Thursday,False,11
TXN0000000131,2024-10-10 23:26:00,P2M,Transport,66,SUCCESS,Maharashtra,ICICI,PNB,iOS,4G,23,Thursday,False,23
TXN0000000132,2024-12-28 10:47:00,Recharge,Food,225,SUCCESS,Maharashtra,ICICI,HDFC,Android,4G,10,Saturday,True,10
TXN0000000133,2024-04-05 20:33:00,P2M,Entertainment,187,SUCCESS,Delhi,SBI,Axis,Android,4G,20,Friday,False,20
TXN0000000134,2024-10-15 19:38:00,P2P,Shopping,7155,SUCCESS,Tamil Nadu,ICICI,IndusInd,Android,4G,19,Tuesday,False,19
TXN0000000135,2024-12-14 19:24:00,Bill Payment,Shopping,5879,SUCCESS,Telangana,SBI,PNB,Android,5G,19,Saturday,True,19
TXN0000000136,2024-09-02 20:42:00,P2P,Entertainment,561,SUCCESS,Delhi,SBI,Yes Bank,Android,WiFi,20,Monday,False,20
TXN0000000137,2024-12-02 13:26:00,Bill Payment,Utilities,6011,SUCCESS,Maharashtra,SBI,Yes Bank,Android,4G,13,Monday,False,13
TXN0000000138,2024-08-15 07:34:00,P2P,Entertainment,223,SUCCESS,Telangana,SBI,SBI,Android,5G,7,Thursday,False,7
TXN0000000139,2024-11-07 15:35:00,Bill Payment,Fuel,4864,SUCCESS,Maharashtra,Kotak,SBI,iOS,WiFi,15,Thursday,False,15
TXN0000000140,2024-09-04 16:28:00,P2M,Food,2350,SUCCESS,Delhi,SBI,IndusInd,Android,5G,16,Wednesday,False,16
TXN0000000141,2024-04-09 14:17:00,P2M,Utilities,284,SUCCESS,Telangana,SBI,Kotak,Android,4G,14,Tuesday,False,14
TXN0000000142,2024-06-22 23:08:00,P2P,Shopping,1174,SUCCESS,West Bengal,IndusInd,HDFC,Android,4G,23,Saturday,True,23
TXN0000000143,2024-08-15 19:38:00,P2P,Shopping,1773,SUCCESS,Maharashtra,IndusInd,ICICI,Android,4G,19,Thursday,False,19
TXN0000000144,2024-01-07 09:55:00,P2P,Grocery,2839,SUCCESS,Uttar Pradesh,HDFC,SBI,iOS,4G,9,Sunday,True,9
TXN0000000145,2024-06-13 08:59:00,P2P,Shopping,3757,SUCCESS,Uttar Pradesh,SBI,SBI,Android,4G,8,Thursday,False,8
TXN0000000146,2024-10-14 12:46:00,P2P,Grocery,599,SUCCESS,Uttar Pradesh,ICICI,ICICI,Android,4G,12,Monday,False,12
TXN0000000147,2024-02-18 16:12:00,P2P,Healthcare,720,SUCCESS,Gujarat,PNB,ICICI,iOS,4G,16,Sunday,True,16
TXN0000000148,2024-05-05 12:38:00,P2M,Food,646,SUCCESS,Rajasthan,IndusInd,SBI,Android,5G,12,Sunday,True,12
TXN0000000149,2024-06-06 19:51:00,P2M,Food,211,SUCCESS,Delhi,SBI,SBI,iOS,4G,19,Thursday,False,19
TXN0000000150,2024-08-19 17:33:00,P2P,Transport,58,SUCCESS,Rajasthan,IndusInd,PNB,Android,5G,17,Monday,False,17
TXN0000000151,2024-05-17 17:03:00,P2P,Food,377,SUCCESS,Maharashtra,ICICI,SBI,iOS,5G,17,Friday,False,17
TXN0000000152,2024-03-08 21:15:00,Recharge,Transport,1072,SUCCESS,Maharashtra,Axis,HDFC,Android,5G,21,Friday,False,21
TXN0000000153,2024-02-05 08:16:00,P2M,Transport,16,FAILED,Uttar Pradesh,PNB,PNB,Android,WiFi,8,Monday,False,8
TXN0000000154,2024-11-13 17:30:00,P2P,Food,1753,SUCCESS,Karnataka,PNB,Axis,Android,WiFi,17,Wednesday,False,17
TXN0000000155,2024-12-21 10:58:00,P2P,Grocery,345,SUCCESS,West Bengal,ICICI,SBI,iOS,4G,10,Saturday,True,10
TXN0000000156,2024-02-22 11:42:00,P2M,Grocery,174,SUCCESS,Uttar Pradesh,HDFC,SBI,Android,4G,11,Thursday,False,11
TXN0000000157,2024-11-01 12:59:00,P2P,Entertainment,69,SUCCESS,Uttar Pradesh,SBI,PNB,Android,4G,12,Friday,False,12
TXN0000000158,2024-05-09 16:22:00,P2M,Grocery,301,SUCCESS,Telangana,SBI,ICICI,Android,4G,16,Thursday,False,16
TXN0000000159,2024-06-02 22:38:00,Recharge,Utilities,3091,SUCCESS,Maharashtra,ICICI,IndusInd,Android,4G,22,Sunday,True,22
TXN0000000160,2024-02-16 18:51:00,Bill Payment,Shopping,9619,SUCCESS,Maharashtra,SBI,IndusInd,Android,4G,18,Friday,False,18
TXN0000000161,2024-09-13 12:17:00,P2P,Entertainment,727,SUCCESS,Gujarat,Yes Bank,Yes Bank,iOS,4G,12,Friday,False,12
TXN0000000162,2024-10-12 17:50:00,P2M,Fuel,375,SUCCESS,Rajasthan,HDFC,Axis,Android,4G,17,Saturday,True,17
TXN0000000163,2024-12-29 15:13:00,P2M,Grocery,700,SUCCESS,Maharashtra,Kotak,Yes Bank,Android,5G,15,Sunday,True,15
TXN0000000164,2024-05-19 17:12:00,Bill Payment,Shopping,2289,SUCCESS,Andhra Pradesh,Kotak,Kotak,Android,5G,17,Sunday,True,17
TXN0000000165,2024-12-14 17:48:00,P2P,Fuel,797,SUCCESS,Tamil Nadu,SBI,SBI,Web,5G,17,Saturday,True,17
TXN0000000166,2024-10-29 04:05:00,P2P,Shopping,9228,SUCCESS,West Bengal,SBI,Yes Bank,Android,WiFi,4,Tuesday,False,4
TXN0000000167,2024-02-13 16:30:00,P2P,Other,1553,SUCCESS,Karnataka,PNB,SBI,Android,3G,16,Tuesday,False,16
TXN0000000168,2024-08-18 09:16:00,P2M,Entertainment,578,SUCCESS,Andhra Pradesh,HDFC,HDFC,Android,4G,9,Sunday,True,9
TXN0000000169,2024-07-20 20:07:00,P2M,Food,232,FAILED,Andhra Pradesh,Axis,SBI,iOS,WiFi,20,Saturday,True,20
TXN0000000170,2024-07-30 18:10:00,P2M,Fuel,2545,SUCCESS,Uttar Pradesh,SBI,SBI,iOS,4G,18,Tuesday,False,18
TXN0000000171,2024-01-25 07:20:00,P2P,Shopping,457,SUCCESS,Maharashtra,SBI,IndusInd,Android,4G,7,Thursday,False,7
TXN0000000172,2024-09-27 05:16:00,Recharge,Grocery,317,SUCCESS,Delhi,Yes Bank,IndusInd,Android,3G,5,Friday,False,5
TXN0000000173,2024-08-13 18:50:00,P2M,Food,132,SUCCESS,Uttar Pradesh,SBI,SBI,Android,4G,18,Tuesday,False,18
TXN0000000174,2024-04-04 12:34:00,P2P,Grocery,1414,SUCCESS,Rajasthan,IndusInd,SBI,Android,4G,12,Thursday,False,12
TXN0000000175,2024-03-17 17:51:00,P2M,Food,355,SUCCESS,Maharashtra,SBI,Yes Bank,Android,4G,17,Sunday,True,17
TXN0000000176,2024-01-15 10:49:00,P2M,Education,2335,SUCCESS,Maharashtra,Axis,SBI,Android,4G,10,Monday,False,10
TXN0000000177,2024-09-24 18:42:00,P2M,Fuel,443,SUCCESS,Andhra Pradesh,Kotak,SBI,Android,4G,18,Tuesday,False,18
TXN0000000178,2024-05-05 20:50:00,P2P,Food,167,SUCCESS,Tamil Nadu,PNB,SBI,Android,5G,20,Sunday,True,20
TXN0000000179,2024-07-21 19:48:00,P2P,Shopping,7210,SUCCESS,Maharashtra,Axis,Axis,Android,5G,19,Sunday,True,19
TXN0000000180,2024-06-07 21:47:00,P2P,Utilities,2148,SUCCESS,Uttar Pradesh,SBI,SBI,Android,5G,21,Friday,False,21
TXN0000000181,2024-01-20 19:24:00,P2M,Food,57,SUCCESS,Maharashtra,SBI,HDFC,Android,4G,19,Saturday,True,19
TXN0000000182,2024-12-06 15:39:00,P2P,Grocery,2241,FAILED,Tamil Nadu,SBI,ICICI,Android,5G,15,Friday,False,15
TXN0000000183,2024-05-21 21:29:00,P2M,Shopping,1688,SUCCESS,Delhi,SBI,SBI,iOS,4G,21,Tuesday,False,21
TXN0000000184,2024-08-26 09:03:00,P2P,Healthcare,250,SUCCESS,Uttar Pradesh,SBI,Yes Bank,Android,5G,9,Monday,False,9
TXN0000000185,2024-02-05 14:15:00,P2P,Utilities,957,SUCCESS,Karnataka,SBI,Axis,iOS,WiFi,14,Monday,False,14
TXN0000000186,2024-03-05 17:03:00,Bill Payment,Shopping,2555,SUCCESS,Gujarat,Axis,PNB,Android,4G,17,Tuesday,False,17
TXN0000000187,2024-02-19 14:56:00,P2P,Shopping,6786,SUCCESS,Karnataka,PNB,Yes Bank,Android,4G,14,Monday,False,14
TXN0000000188,2024-06-25 18:04:00,P2M,Shopping,1108,SUCCESS,Gujarat,PNB,ICICI,Android,5G,18,Tuesday,False,18
TXN0000000189,2024-06-23 01:12:00,P2M,Fuel,503,SUCCESS,Delhi,Kotak,PNB,iOS,5G,1,Sunday,True,1
